target_role,student_id,age,gender,city,state,pincode,education_level,institution,institution_tier,major,graduation_year,gpa,gpa_rounded,skills,skills_count,has_python,has_java,has_javascript,has_sql,projects_count,projects,internships_count,internship_companies,has_internship,premium_internship,work_experience_years,experience_level,has_experience,certifications,certifications_count,has_certification,has_github,has_linkedin,online_presence_score,expected_salary_lpa,willing_to_relocate,preferred_locations,education_experience_score,skill_certification_score,overall_profile_score,data_version
Data Scientist,STU002412,23,Female,Lucknow,Uttar Pradesh,319069,Master's,NIT Durgapur,Tier-2,Data Science,2026,7.52,8,"Statistics, Python, Machine Learning, Pandas, TensorFlow, NumPy, R, Tableau, Data Visualization",9,1,0,0,0,2,E-commerce Platform - 2020 | Weather App - 2020,1,TCS,1,0,0.1,Junior,1,TensorFlow Developer Certificate,1,1,1,1,1.0,15.22,0,"Bangalore, Pune",0.77,1.2,0.63,0cd8875c
Marketing Specialist,STU008817,20,Female,Hyderabad,Telangana,430758,Bachelor's,Pune University,Tier-2,Marketing,2026,7.45,7,"PPC, Brand Management, Email Marketing, SEO, Social Media, Content Marketing, Google Analytics",7,0,0,0,0,4,HR Policy - 2020 | Market Analysis - 2021 | Market Analysis - 2024 | Market Analysis - 2022,1,TCS,1,0,0.1,Junior,1,HubSpot Content Marketing,1,1,0,1,0.5,7.85,1,"Chennai, Delhi-NCR, Bangalore",0.76,0.93,0.56,0cd8875c
Web Developer,STU006925,20,Male,Hyderabad,Telangana,546108,Master's,NIT Surathkal,Tier-2,Computer Science,2026,7.43,7,"Node.js, Express, HTML, CSS, Redux, React, JavaScript, MongoDB",8,0,0,1,0,2,Social Media App - 2021 | Task Manager - 2020,2,"Deloitte, KPMG",1,0,0.6,Junior,1,Meta Front-End Developer,1,1,1,1,1.0,8.85,0,Delhi-NCR,0.83,1.07,0.61,0cd8875c
DevOps Engineer,STU000838,25,Female,Hyderabad,Telangana,453950,Bachelor's,IIT Kanpur,Tier-1,Information Technology,2027,9.63,10,"Ansible, Monitoring, CI/CD, Docker, Jenkins, Kubernetes, Linux",7,0,0,0,0,3,Task Manager - 2021 | Weather App - 2020 | Social Media App - 2020,1,Swiggy,1,0,0.0,Fresher,0,None,0,0,1,1,1.0,12.82,1,"Mumbai, Hyderabad",0.96,0.7,0.58,0cd8875c
HR Generalist,STU003744,20,Female,Pune,Maharashtra,400955,Bachelor's,Christ University,Tier-2,HR Management,2025,9.05,9,"Performance Management, Communication, Employee Relations, Training, Recruitment, Excel",6,0,0,0,0,2,HR Policy - 2023 | Market Analysis - 2024,2,"BlackBuck, Groww",1,0,1.5,Junior,1,None,0,0,0,1,0.5,6.55,1,"Bangalore, Hyderabad, Mumbai",1.18,0.6,0.57,0cd8875c
Web Developer,STU008318,18,Female,Lucknow,Uttar Pradesh,667095,Bachelor's,IIT Madras,Tier-1,Information Technology,2027,7.27,7,"Node.js, React, Git, Redux, TypeScript, HTML, MongoDB",7,0,0,0,0,5,Task Manager - 2022 | Task Manager - 2021 | Weather App - 2021 | E-commerce Platform - 2023 | E-commerce Platform - 2022,1,KPMG,1,0,0.0,Fresher,0,AWS Certified Cloud Practitioner,1,1,1,1,1.0,7.21,1,Pune,0.73,0.93,0.56,0cd8875c
HR Generalist,STU007466,21,Female,Chennai,Tamil Nadu,838781,Master's,IIM Raipur,Tier-1,Psychology,2025,7.73,8,"Recruitment, Training, Excel, Employee Relations, Communication, Performance Management, HR Policies",7,0,0,0,0,2,Marketing Campaign - 2024 | Financial Model - 2024,3,"VMware, Rivigo, Cisco",1,0,1.8,Junior,1,SHRM Certified,1,1,0,1,0.5,7.84,1,"Bangalore, Chennai",1.05,0.93,0.62,0cd8875c
Financial Analyst,STU006415,21,Female,Ahmedabad,Gujarat,705169,Master's,XLRI Jamshedpur,Tier-2,Finance,2026,6.58,7,"Python, Bloomberg, Valuation, Risk Analysis, Financial Modeling, Accounting, Excel",7,1,0,0,0,3,Financial Model - 2024 | Financial Model - 2022 | Marketing Campaign - 2024,4,"Wipro, Zerodha, Cognizant, Infosys",1,0,0.1,Junior,1,None,0,0,0,1,0.5,16.07,1,Bangalore,0.67,0.7,0.49,0cd8875c
HR Generalist,STU000957,19,Male,Delhi,Delhi,791750,Bachelor's,Ashoka University,Tier-2,HR Management,2024,6.34,6,"Performance Management, Employee Relations, Training, Recruitment, HR Policies, Communication, Excel",7,0,0,0,0,4,HR Policy - 2020 | Financial Model - 2021 | Financial Model - 2021 | Financial Model - 2021,3,"PwC, Groww, Razorpay",1,0,2.7,Mid-Level,1,LinkedIn Recruiter Certification,1,1,0,1,0.5,7.08,1,"Chennai, Pune, Mumbai",0.98,0.93,0.61,0cd8875c
Business Analyst,STU001917,22,Male,Chennai,Tamil Nadu,777831,PhD,St. Stephens Delhi,Tier-2,Business Analytics,2026,7.74,8,"Tableau, SQL, Requirements Gathering, Excel, Power BI, Stakeholder Management, Visio",7,0,0,0,1,4,Marketing Campaign - 2022 | Market Analysis - 2022 | Financial Model - 2020 | Financial Model - 2020,4,"SAP, Oracle, Capgemini, BlackBuck",1,0,0.5,Junior,1,"IIBA Entry Certificate, Certified Business Analysis Professional",2,1,0,1,0.5,18.75,1,"Mumbai, Chennai",0.85,1.17,0.64,0cd8875c
HR Generalist,STU005914,25,Female,Delhi,Delhi,745837,Master's,IIM Bangalore,Tier-1,HR Management,2025,8.91,9,"HR Policies, Employee Relations, Recruitment, Excel, Communication, Performance Management, Training",7,0,0,0,0,4,HR Policy - 2024 | HR Policy - 2022 | Financial Model - 2022 | Market Analysis - 2024,2,"Zerodha, Cisco",1,0,1.8,Junior,1,SHRM Certified,1,1,0,1,0.5,7.89,0,"Bangalore, Mumbai",1.21,0.93,0.66,0cd8875c
Financial Analyst,STU004579,19,Female,Chennai,Tamil Nadu,857423,Bachelor's,Madras University,Tier-2,Commerce,2024,7.77,8,"Python, Financial Modeling, Risk Analysis, Accounting, Valuation, Excel",6,1,0,0,0,5,Market Analysis - 2023 | Marketing Campaign - 2023 | Market Analysis - 2024 | Marketing Campaign - 2024 | Marketing Campaign - 2024,4,"Infosys, KPMG, TCS, SAP",1,0,2.3,Mid-Level,1,"Financial Modeling Certificate, NSE Certified, FRM Certification",3,1,0,1,0.5,9.36,0,"Chennai, Pune, Delhi-NCR",1.13,1.2,0.71,0cd8875c
Marketing Specialist,STU000010,18,Female,Pune,Maharashtra,101773,Master's,SP Jain,Tier-2,Business Administration,2027,8.36,8,"Content Marketing, Google Analytics, SEO, PPC, Brand Management, Social Media, Email Marketing",7,0,0,0,0,4,HR Policy - 2023 | HR Policy - 2023 | HR Policy - 2024 | Financial Model - 2021,1,Cisco,1,0,0.0,Fresher,0,HubSpot Content Marketing,1,1,0,1,0.5,9.08,1,Pune,0.84,0.93,0.59,0cd8875c
Civil Engineer,STU006715,22,Male,Ahmedabad,Gujarat,211441,Bachelor's,NIT Surathkal,Tier-2,Construction Technology,2025,8.5,8,"Structural Analysis, AutoCAD, Project Management, STAAD Pro, Surveying, Revit",6,0,0,0,0,2,Bridge Design - 2022 | Bridge Design - 2023,3,"Mahindra, Mahindra, Mahindra",1,0,1.1,Junior,1,"AutoCAD Certified Professional, Project Management Professional",2,1,0,1,0.5,7.12,1,Delhi-NCR,1.04,1.0,0.65,0cd8875c
Machine Learning Engineer,STU004256,20,Male,Mumbai,Maharashtra,881791,Master's,NIT Rourkela,Tier-2,Data Science,2027,7.22,7,"Deep Learning, PyTorch, Keras, TensorFlow, MLOps, Scikit-learn, Computer Vision",7,0,0,0,0,2,Weather App - 2022 | Social Media App - 2020,0,None,0,0,0.0,Fresher,0,"AWS Certified Machine Learning, NVIDIA DLI Certifications",2,1,1,1,1.0,19.89,1,"Pune, Chennai, Mumbai",0.72,1.17,0.61,0cd8875c
HR Generalist,STU002260,19,Female,Hyderabad,Telangana,490129,Bachelor's,St. Stephens Delhi,Tier-2,HR Management,2028,7.85,8,"Recruitment, Training, Excel, Performance Management, Communication, HR Policies, Employee Relations",7,0,0,0,0,2,Marketing Campaign - 2023 | HR Policy - 2023,1,KPMG,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,5.06,1,"Bangalore, Delhi-NCR, Chennai",0.78,0.7,0.52,0cd8875c
Financial Analyst,STU001753,19,Female,Hyderabad,Telangana,761770,Bachelor's,BHU,Tier-2,Finance,2025,6.8,7,"Excel, Risk Analysis, Accounting, Valuation, Python, Financial Modeling, Bloomberg",7,1,0,0,0,4,Marketing Campaign - 2020 | Financial Model - 2023 | Marketing Campaign - 2022 | Market Analysis - 2021,1,Cisco,1,0,1.2,Junior,1,NSE Certified,1,1,0,1,0.5,11.56,0,Mumbai,0.84,0.93,0.58,0cd8875c
Software Engineer,STU005466,23,Male,Bangalore,Karnataka,521315,Bachelor's,IIT Kharagpur,Tier-1,Software Engineering,2026,8.23,8,"Git, Python, Microservices, Data Structures, Algorithms, REST APIs, C++, SQL",8,1,0,0,1,4,E-commerce Platform - 2020 | E-commerce Platform - 2020 | Task Manager - 2022 | Weather App - 2020,2,"Infosys, Microsoft",1,1,0.9,Junior,1,AWS Certified Developer,1,1,0,1,0.5,11.53,1,"Chennai, Pune",0.97,1.07,0.64,0cd8875c
Web Developer,STU001322,22,Male,Jaipur,Rajasthan,801881,Bachelor's,IIT Guwahati,Tier-1,Web Development,2025,7.36,7,"Node.js, Express, TypeScript, HTML, Redux, MongoDB, React, Git, JavaScript, CSS",10,0,0,1,0,5,Social Media App - 2021 | E-commerce Platform - 2021 | Social Media App - 2023 | Task Manager - 2021 | E-commerce Platform - 2022,2,"KPMG, Deloitte",1,0,1.2,Junior,1,None,0,0,1,1,1.0,8.54,0,"Delhi-NCR, Chennai, Hyderabad",0.91,1.0,0.63,0cd8875c
Financial Analyst,STU002071,22,Male,Kolkata,West Bengal,726040,Master's,IIM Raipur,Tier-1,Economics,2025,7.26,7,"Bloomberg, Accounting, Financial Modeling, Python, Valuation, Risk Analysis, Excel",7,1,0,0,0,4,Market Analysis - 2024 | Marketing Campaign - 2020 | HR Policy - 2024 | Marketing Campaign - 2020,2,"BlackBuck, Deloitte",1,0,1.3,Junior,1,CFA Level 1,1,1,0,1,0.5,13.15,1,Mumbai,0.91,0.93,0.59,0cd8875c
DevOps Engineer,STU000987,24,Female,Pune,Maharashtra,706708,Bachelor's,IIT BHU,Tier-1,Computer Science,2027,7.98,8,"Kubernetes, Linux, Terraform, Git, CI/CD, Jenkins, Ansible",7,0,0,0,0,5,E-commerce Platform - 2022 | E-commerce Platform - 2024 | Task Manager - 2020 | Task Manager - 2023 | Social Media App - 2020,1,Oracle,1,0,0.0,Fresher,0,"Certified Kubernetes Administrator, AWS Certified DevOps Engineer",2,1,0,1,0.5,9.77,1,Mumbai,0.8,1.17,0.63,0cd8875c
Civil Engineer,STU006558,18,Female,Ahmedabad,Gujarat,861119,Bachelor's,Jadavpur University,Tier-2,Civil Engineering,2028,7.35,7,"Surveying, Structural Analysis, Construction Management, Project Management, STAAD Pro, AutoCAD",6,0,0,0,0,4,Bridge Design - 2020 | Circuit Design - 2020 | Bridge Design - 2021 | Building Plan - 2021,1,Tata Motors,1,0,0.0,Fresher,0,LEED Green Associate,1,1,0,1,0.5,5.1,1,"Chennai, Delhi-NCR, Bangalore",0.73,0.8,0.53,0cd8875c
Product Manager,STU006499,24,Male,Delhi,Delhi,477298,Bachelor's,St. Stephens Delhi,Tier-2,Business Administration,2027,8.74,9,"Analytics, JIRA, Market Research, Wireframing, Agile, User Stories, MVP Development, Product Strategy",8,0,0,0,0,2,Market Analysis - 2022 | Financial Model - 2022,0,None,0,0,0.0,Fresher,0,"Product School Certification, Google Project Management, Certified Scrum Product Owner",3,1,0,0,0.0,13.94,1,Pune,0.87,1.6,0.73,0cd8875c
Marketing Specialist,STU005438,25,Female,Ahmedabad,Gujarat,710659,Bachelor's,JNU,Tier-2,Marketing,2026,8.63,9,"Content Marketing, Social Media, Brand Management, Google Analytics, PPC, Email Marketing, SEO",7,0,0,0,0,2,Financial Model - 2021 | Financial Model - 2022,2,"PhysicsWallah, BlackBuck",1,0,0.7,Junior,1,Google Analytics Certification,1,1,0,1,0.5,8.05,1,Bangalore,0.98,0.93,0.62,0cd8875c
Web Developer,STU004494,21,Male,Pune,Maharashtra,329199,Master's,NIT Jaipur,Tier-2,Computer Science,2027,8.18,8,"CSS, JavaScript, Express, MongoDB, React, TypeScript, HTML, Redux, Git, Node.js",10,0,0,1,0,3,Task Manager - 2020 | Social Media App - 2021 | Social Media App - 2021,1,PwC,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,12.53,1,"Mumbai, Delhi-NCR",0.82,1.0,0.62,0cd8875c
HR Generalist,STU003456,21,Male,Bangalore,Karnataka,152001,Bachelor's,Delhi University,Tier-2,Psychology,2025,6.67,7,"Employee Relations, Communication, HR Policies, Training, Recruitment, Performance Management, Excel",7,0,0,0,0,3,HR Policy - 2024 | Financial Model - 2021 | Market Analysis - 2022,4,"SAP, PwC, EY, Deloitte",1,0,1.5,Junior,1,"LinkedIn Recruiter Certification, HR Analytics Certification",2,1,0,1,0.5,5.75,1,Pune,0.87,1.17,0.63,0cd8875c
Research Scientist,STU006191,19,Male,Lucknow,Uttar Pradesh,781542,PhD,JNU,Tier-2,Chemistry,2028,7.08,7,"Python, Lab Techniques, Grant Writing, Technical Writing, Research Methodology, R",6,1,0,0,0,3,Research Paper - 2020 | Lab Experiment - 2024 | Research Paper - 2021,1,Cisco,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,13.22,1,"Chennai, Hyderabad, Pune",0.71,0.6,0.47,0cd8875c
Software Engineer,STU007620,23,Male,Lucknow,Uttar Pradesh,634924,Bachelor's,IIT Roorkee,Tier-1,Software Engineering,2025,7.73,8,"C++, SQL, Microservices, Git, Docker, REST APIs",6,0,0,0,1,2,Social Media App - 2023 | E-commerce Platform - 2024,1,Cognizant,1,0,1.4,Junior,1,None,0,0,1,1,1.0,10.6,1,"Bangalore, Hyderabad",0.99,0.6,0.53,0cd8875c
Web Developer,STU008926,24,Male,Pune,Maharashtra,417074,Bachelor's,NIT Warangal,Tier-2,Web Development,2027,6.0,6,"Express, CSS, MongoDB, React, HTML, Redux, Git, JavaScript",8,0,0,1,0,2,Social Media App - 2023 | Task Manager - 2024,2,"Directi, Swiggy",1,0,0.0,Fresher,0,"Google UX Design, MongoDB Certification",2,1,1,1,1.0,6.19,1,Bangalore,0.6,1.33,0.6,0cd8875c
Financial Analyst,STU001320,23,Female,Pune,Maharashtra,834479,Bachelor's,BHU,Tier-2,Commerce,2026,6.89,7,"Accounting, Bloomberg, Excel, Risk Analysis, Valuation, Financial Modeling, Python",7,1,0,0,0,4,HR Policy - 2020 | HR Policy - 2023 | Market Analysis - 2022 | HR Policy - 2023,2,"Oracle, Wipro",1,0,0.8,Junior,1,Financial Modeling Certificate,1,1,0,1,0.5,10.26,0,"Bangalore, Chennai",0.8,0.93,0.57,0cd8875c
Civil Engineer,STU002122,18,Female,Ahmedabad,Gujarat,464899,Master's,NIT Jaipur,Tier-2,Civil Engineering,2026,8.43,8,"AutoCAD, Construction Management, Project Management, Surveying, Structural Analysis, Revit, STAAD Pro",7,0,0,0,0,2,Building Plan - 2023 | Bridge Design - 2021,2,"ABB, Tata Motors",1,0,0.4,Junior,1,None,0,0,0,1,0.5,8.17,1,"Pune, Chennai, Hyderabad",0.91,0.7,0.55,0cd8875c
Research Scientist,STU003460,20,Female,Jaipur,Rajasthan,970575,Bachelor's,Calcutta University,Tier-2,Physics,2027,6.75,7,"Research Methodology, R, Python, Lab Techniques, Technical Writing, Grant Writing, Data Analysis",7,1,0,0,0,4,Research Paper - 2023 | Research Paper - 2021 | Data Collection - 2024 | Lab Experiment - 2021,1,Zerodha,1,0,0.0,Fresher,0,None,0,0,0,0,0.0,8.32,0,"Chennai, Mumbai, Hyderabad",0.68,0.7,0.49,0cd8875c
Mechanical Engineer,STU001047,24,Male,Chennai,Tamil Nadu,128548,Bachelor's,NIT Surathkal,Tier-2,Automobile Engineering,2028,7.56,8,"FEA, CATIA, SolidWorks, Thermodynamics, Fluid Mechanics, Manufacturing",6,0,0,0,0,3,Circuit Design - 2024 | Circuit Design - 2022 | Bridge Design - 2021,0,None,0,0,0.0,Fresher,0,CATIA Certified,1,1,0,1,0.5,6.73,1,Delhi-NCR,0.76,0.8,0.54,0cd8875c
Business Analyst,STU008611,20,Female,Lucknow,Uttar Pradesh,472510,Bachelor's,Calcutta University,Tier-2,Economics,2026,7.93,8,"Tableau, Requirements Gathering, Excel, Power BI, SQL, Stakeholder Management",6,0,0,0,1,4,Marketing Campaign - 2023 | Market Analysis - 2020 | HR Policy - 2024 | Market Analysis - 2020,3,"CRED, Cognizant, Deloitte",1,0,0.2,Junior,1,"Tableau Certification, IIBA Entry Certificate",2,1,0,1,0.5,7.83,1,Delhi-NCR,0.82,1.0,0.6,0cd8875c
Mechanical Engineer,STU000685,26,Female,Ahmedabad,Gujarat,103890,Bachelor's,VIT Vellore,Tier-2,Mechanical Engineering,2025,7.26,7,"CATIA, AutoCAD, SolidWorks, Thermodynamics, Fluid Mechanics, Manufacturing, FEA",7,0,0,0,0,5,Bridge Design - 2021 | Building Plan - 2023 | Thermal Analysis - 2022 | Building Plan - 2020 | Bridge Design - 2022,2,"Bosch, Mahindra",1,0,1.1,Junior,1,"SolidWorks Certified Professional, ASME Certification",2,1,0,0,0.0,6.94,1,"Hyderabad, Bangalore",0.89,1.17,0.64,0cd8875c
Business Analyst,STU000233,19,Female,Hyderabad,Telangana,820724,Master's,SP Jain,Tier-2,Statistics,2025,6.58,7,"Tableau, Requirements Gathering, Data Analysis, Visio, Excel, Power BI",6,0,0,0,0,4,HR Policy - 2023 | Market Analysis - 2021 | HR Policy - 2020 | Financial Model - 2024,1,Deloitte,1,0,1.5,Junior,1,"Certified Business Analysis Professional, Tableau Certification",2,1,0,1,0.5,10.1,1,Bangalore,0.86,1.0,0.6,0cd8875c
Machine Learning Engineer,STU004578,23,Female,Hyderabad,Telangana,819327,Bachelor's,Shiv Nadar University,Tier-2,Data Science,2027,7.5,8,"Python, Deep Learning, Scikit-learn, NLP, TensorFlow, MLOps, Computer Vision, Keras, PyTorch",9,1,0,0,0,2,Task Manager - 2022 | Weather App - 2022,0,None,0,0,0.0,Fresher,0,None,0,0,1,1,1.0,14.05,1,"Bangalore, Delhi-NCR",0.75,0.9,0.57,0cd8875c
UX Designer,STU005769,20,Female,Kolkata,West Bengal,698350,Master's,NIT Allahabad,Tier-2,Design,2027,8.16,8,"Usability Testing, Wireframing, Sketch, Information Architecture, Figma, Prototyping, User Research, Adobe XD",8,0,0,0,0,3,Social Media App - 2022 | Weather App - 2020 | Task Manager - 2024,2,"Microsoft, Uber",1,1,0.0,Fresher,0,"NN/g UX Certification, Google UX Design Professional, Adobe Certified Professional",3,1,0,1,0.5,9.2,1,"Delhi-NCR, Chennai, Hyderabad",0.82,1.6,0.71,0cd8875c
HR Generalist,STU008883,20,Male,Bangalore,Karnataka,955717,Bachelor's,Calcutta University,Tier-2,Psychology,2027,9.01,9,"Employee Relations, Training, Recruitment, Communication, HR Policies, Performance Management, Excel",7,0,0,0,0,2,HR Policy - 2024 | Market Analysis - 2021,1,KPMG,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,6.76,1,"Pune, Delhi-NCR",0.9,0.7,0.56,0cd8875c
Electrical Engineer,STU004359,18,Female,Chennai,Tamil Nadu,550088,Bachelor's,Shiv Nadar University,Tier-2,Electrical Engineering,2024,7.9,8,"VLSI, MATLAB, Circuit Design, Embedded Systems, Simulink, Power Systems",6,0,0,0,0,3,Thermal Analysis - 2023 | Building Plan - 2024 | Thermal Analysis - 2022,2,"Samsung, Bajaj Auto",1,0,2.4,Mid-Level,1,Certified Automation Professional,1,1,0,1,0.5,6.31,1,Bangalore,1.17,0.8,0.61,0cd8875c
Financial Analyst,STU004262,18,Male,Delhi,Delhi,692914,Master's,IIM Calcutta,Tier-1,Economics,2026,8.75,9,"Valuation, Financial Modeling, Risk Analysis, Bloomberg, Accounting, Excel, Python",7,1,0,0,0,4,Market Analysis - 2022 | HR Policy - 2021 | Market Analysis - 2020 | Market Analysis - 2024,1,Unacademy,1,0,0.0,Fresher,0,"NSE Certified, FRM Certification",2,1,0,1,0.5,15.32,1,"Pune, Bangalore",0.88,1.17,0.65,0cd8875c
Financial Analyst,STU008002,24,Male,Delhi,Delhi,896150,Bachelor's,JNU,Tier-2,Commerce,2024,7.67,8,"Valuation, Python, Accounting, Risk Analysis, Excel, Financial Modeling",6,1,0,0,0,5,Marketing Campaign - 2024 | Marketing Campaign - 2024 | Marketing Campaign - 2022 | Market Analysis - 2021 | Marketing Campaign - 2020,4,"Ola Electric, KPMG, KPMG, Unacademy",1,0,2.8,Mid-Level,1,"FRM Certification, Financial Modeling Certificate",2,1,0,1,0.5,7.67,0,"Chennai, Delhi-NCR",1.2,1.0,0.67,0cd8875c
Financial Analyst,STU004896,22,Male,Jaipur,Rajasthan,270338,Bachelor's,Symbiosis International,Tier-2,Commerce,2026,7.59,8,"Valuation, Python, Financial Modeling, Accounting, Excel, Risk Analysis, Bloomberg",7,1,0,0,0,5,Marketing Campaign - 2022 | Financial Model - 2020 | Marketing Campaign - 2021 | Marketing Campaign - 2023 | Financial Model - 2024,2,"Groww, Accenture",1,0,0.2,Junior,1,"Financial Modeling Certificate, CFA Level 1",2,1,0,1,0.5,10.33,1,Delhi-NCR,0.79,1.17,0.62,0cd8875c
Marketing Specialist,STU007965,20,Male,Pune,Maharashtra,468422,Bachelor's,Symbiosis International,Tier-2,Mass Communication,2027,7.92,8,"SEO, Brand Management, Social Media, Email Marketing, PPC, Google Analytics",6,0,0,0,0,2,Financial Model - 2022 | Financial Model - 2024,2,"IBM, Capgemini",1,0,0.0,Fresher,0,None,0,0,0,1,0.5,7.88,1,Chennai,0.79,0.6,0.5,0cd8875c
Software Engineer,STU004734,23,Male,Lucknow,Uttar Pradesh,429687,Bachelor's,IIT Hyderabad,Tier-1,Computer Science,2026,9.38,9,"C++, REST APIs, Docker, Data Structures, Java, Git, SQL",7,0,1,0,1,3,E-commerce Platform - 2022 | E-commerce Platform - 2023 | Weather App - 2022,1,Paytm,1,0,0.7,Junior,1,"AWS Certified Developer, Oracle Certified Professional",2,1,1,1,1.0,9.21,0,"Mumbai, Bangalore, Delhi-NCR",1.07,1.17,0.69,0cd8875c
Software Engineer,STU000860,22,Male,Bangalore,Karnataka,489992,Bachelor's,NIT Warangal,Tier-2,Information Technology,2028,7.93,8,"Microservices, Algorithms, C++, Python, Git, SQL, Docker, REST APIs, Java",9,1,1,0,1,4,Social Media App - 2022 | Weather App - 2020 | Weather App - 2021 | Weather App - 2021,0,None,0,0,0.0,Fresher,0,"Google Cloud Developer, AWS Certified Developer",2,1,1,1,1.0,8.97,1,"Delhi-NCR, Chennai",0.79,1.5,0.69,0cd8875c
Civil Engineer,STU007246,19,Male,Lucknow,Uttar Pradesh,130038,Bachelor's,NIT Jaipur,Tier-2,Construction Technology,2024,9.01,9,"Construction Management, STAAD Pro, Project Management, Surveying, Structural Analysis, Revit",6,0,0,0,0,5,Bridge Design - 2021 | Bridge Design - 2024 | Bridge Design - 2020 | Building Plan - 2023 | Circuit Design - 2024,4,"Samsung, Bosch, Schneider Electric, Reliance",1,0,2.2,Mid-Level,1,None,0,0,0,1,0.5,5.1,1,"Hyderabad, Chennai",1.3,0.6,0.59,0cd8875c
UX Designer,STU005313,21,Female,Chennai,Tamil Nadu,731933,Bachelor's,Manipal University,Tier-2,HCI,2024,7.62,8,"Wireframing, Information Architecture, Prototyping, Usability Testing, Figma, User Research, Sketch, Adobe XD",8,0,0,0,0,2,E-commerce Platform - 2020 | E-commerce Platform - 2022,4,"Unacademy, KPMG, BYJU'S, Swiggy",1,0,2.6,Mid-Level,1,Google UX Design Professional,1,1,1,1,1.0,9.15,1,Chennai,1.16,1.07,0.67,0cd8875c
HR Generalist,STU005982,22,Female,Ahmedabad,Gujarat,988578,Bachelor's,Madras University,Tier-2,Psychology,2027,7.66,8,"Communication, Performance Management, Employee Relations, Training, HR Policies, Recruitment, Excel",7,0,0,0,0,4,Financial Model - 2024 | Financial Model - 2024 | HR Policy - 2024 | Financial Model - 2022,1,PwC,1,0,0.0,Fresher,0,LinkedIn Recruiter Certification,1,1,0,1,0.5,6.23,1,"Bangalore, Mumbai",0.77,0.93,0.57,0cd8875c
Business Analyst,STU001030,22,Male,Mumbai,Maharashtra,990935,PhD,JNU,Tier-2,Economics,2025,7.63,8,"Stakeholder Management, SQL, Data Analysis, Tableau, Visio, Excel, Power BI, Requirements Gathering",8,0,0,0,1,5,Marketing Campaign - 2023 | HR Policy - 2024 | Marketing Campaign - 2024 | Financial Model - 2024 | Marketing Campaign - 2021,3,"Wipro, TCS, Unacademy",1,0,1.4,Junior,1,None,0,0,0,1,0.5,13.07,0,Delhi-NCR,0.98,0.8,0.59,0cd8875c
Financial Analyst,STU006222,23,Female,Ahmedabad,Gujarat,824834,Bachelor's,Symbiosis International,Tier-2,Economics,2025,6.77,7,"Financial Modeling, Bloomberg, Risk Analysis, Python, Valuation, Excel, Accounting",7,1,0,0,0,5,Financial Model - 2024 | HR Policy - 2024 | Financial Model - 2021 | Marketing Campaign - 2020 | Marketing Campaign - 2022,1,CRED,1,0,1.7,Junior,1,CFA Level 1,1,1,0,1,0.5,8.73,1,"Mumbai, Hyderabad",0.91,0.93,0.59,0cd8875c
Electrical Engineer,STU000072,23,Female,Bangalore,Karnataka,195643,PhD,NIT Warangal,Tier-2,Electrical Engineering,2026,6.83,7,"MATLAB, Power Systems, Embedded Systems, Simulink, VLSI, PLC, Circuit Design",7,0,0,0,0,3,Bridge Design - 2020 | Bridge Design - 2021 | Building Plan - 2021,3,"Siemens, Reliance, Samsung",1,0,0.5,Junior,1,"MATLAB Certified, IEEE Certification, PLC Programming Certificate",3,1,0,1,0.5,13.91,0,Pune,0.75,1.4,0.66,0cd8875c
Civil Engineer,STU005348,24,Male,Kolkata,West Bengal,726459,Master's,IIT Indore,Tier-1,Construction Technology,2027,9.18,9,"Structural Analysis, Construction Management, Revit, STAAD Pro, Project Management, AutoCAD, Surveying",7,0,0,0,0,4,Thermal Analysis - 2020 | Building Plan - 2021 | Bridge Design - 2022 | Bridge Design - 2020,1,Mahindra,1,0,0.0,Fresher,0,None,0,0,0,1,0.5,8.75,1,"Bangalore, Delhi-NCR, Hyderabad",0.92,0.7,0.56,0cd8875c
Civil Engineer,STU001125,20,Male,Hyderabad,Telangana,901067,Master's,IIT Hyderabad,Tier-1,Civil Engineering,2025,8.14,8,"Project Management, Construction Management, Structural Analysis, Surveying, STAAD Pro, Revit",6,0,0,0,0,5,Thermal Analysis - 2020 | Thermal Analysis - 2020 | Bridge Design - 2024 | Circuit Design - 2020 | Bridge Design - 2020,2,"ABB, Schneider Electric",1,0,1.1,Junior,1,Project Management Professional,1,1,0,1,0.5,7.65,1,"Hyderabad, Bangalore, Mumbai",0.99,0.8,0.58,0cd8875c
Research Scientist,STU003877,22,Female,Kolkata,West Bengal,366254,PhD,Christ University,Tier-2,Physics,2028,8.92,9,"Python, Grant Writing, Research Methodology, R, Data Analysis, Lab Techniques, Technical Writing",7,1,0,0,0,2,Research Paper - 2020 | Data Collection - 2021,0,None,0,0,0.0,Fresher,0,ICH Guidelines,1,1,0,1,0.5,15.9,0,"Hyderabad, Bangalore, Chennai",0.89,0.93,0.61,0cd8875c
